"","Date","GDP.Price.Index","Inflation.rate","SPF.t.t.1.","SPF.t.t.2.","Greenbook.t.t.1.","Greenbook.t.t.2.","X3.month.T.bill.rate","X5.year.Treasury.yield","unempl..Rate","S.P500.index","observation","SPF.t.t.1.err","Greenbook.t.t.1.err"
"5",1969,21.54,5.2871724916506,3.1631,2.8,3.3,3,6.02,6.41,3.4,101.51,5,2.1240724916506,1.9871724916506
"6",1969,21.847,5.70102135561745,2.6012,2.8607,3.4,3,6.44,6.75,3.5,97.71,6,3.09982135561745,2.30102135561745
"7",1969,22.12,4.9983979493752,3.3857,3.0111,4.8,4.3,7.09,7.57,3.7,93.12,7,1.6126979493752,0.1983979493752
"8",1969,22.425,5.51537070524413,3.4798,2.6228,3.7,3.5,7.82,7.96,3.5,92.06,8,2.03557070524413,1.81537070524413
"9",1970,22.749,5.7792642140468,4.0936,3.2861,3.5,3.5,6.63,7.21,4.4,89.63,9,1.6856642140468,2.2792642140468
"10",1970,22.935,3.27047342740343,3.6526,3.6689,3.7,3.2,6.68,7.85,4.9,72.72,10,-0.382126572596569,-0.429526572596569
"11",1970,23.234,5.21473730106825,4.2429,3.6195,4.9,4.6,6.12,7.29,5.4,84.21,11,0.971837301068251,0.31473730106825
"12",1970,23.589,6.11173280537143,3.6008,3.8806,3.5,3.6,4.87,5.95,6.1,92.15,12,2.51093280537143,2.61173280537143
"13",1971,23.905,5.35842977659087,3.6867,3.3173,4.3,3.2,3.38,5,6,100.31,13,1.67172977659087,1.05842977659087
"14",1971,24.146,4.03262915708007,3.7123,3.5128,3.9,3,4.75,6.53,5.9,99.7,14,0.32032915708007,0.13262915708007
"15",1971,24.345,3.29661227532512,3.7944,3.85,4.9,3.6,4.69,6.14,6,98.34,15,-0.497787724674883,-1.60338772467488
"16",1971,24.742,6.52289997946189,3.3057,3.3761,5.3,3.8,4.01,5.69,6,102.09,16,3.21719997946189,1.22289997946189
"17",1972,24.891,2.40885942931044,3.3342,3.2228,3.5,5.1,3.73,5.87,5.8,107.2,17,-0.925340570689561,-1.09114057068956
"18",1972,25.111,3.53541440681377,3.4121,3.4485,3.1,2.5,3.91,5.91,5.7,107.14,18,0.123314406813775,0.435414406813775
"19",1972,25.394,4.50798454860415,3.4136,3.3234,3.2,2.9,4.66,6.25,5.5,110.55,19,1.09438454860415,1.30798454860415
"20",1972,25.72,5.13507127667951,3.5354,3.4502,3.2,3,5.07,6.16,5.2,118.05,20,1.59967127667951,1.93507127667951
"21",1973,26.142,6.56298600311045,3.8109,3.8312,4,4.1,6.09,6.8,4.9,111.52,21,2.75208600311045,2.56298600311045
"22",1973,26.631,7.48221253155839,3.65,3.2673,3.6,3.7,7.19,6.69,4.9,104.26,22,3.83221253155839,3.88221253155839
"23",1973,27.092,6.92426119935412,4.3653,3.6671,4.3,3.8,8.29,7.05,4.8,108.43,23,2.55896119935412,2.62426119935412
"24",1973,27.644,8.15000738225304,4.8648,4.1639,5.3,4.5,7.45,6.8,4.9,97.55,24,3.28520738225304,2.85000738225304
"25",1974,28.262,8.94226595282888,5.9098,4.1474,5.7,6.2,7.96,7.31,5.1,93.98,25,3.03246595282888,3.24226595282888
"26",1974,29.124,12.2001273795202,7.0284,5.5674,6.9,5.1,7.9,8.1,5.4,86,26,5.17172737952016,5.30012737952016
"27",1974,30.008,12.1411893970609,6.999,6.1802,6.2,5.5,8.06,8.37,5.9,63.54,27,5.14218939706088,5.94118939706088
"28",1974,30.686,9.03758997600637,7.8645,6.0534,8.1,6.7,7.15,7.31,7.2,68.56,28,1.17308997600637,0.937589976006366
"29",1975,31.134,5.83979664993812,8.6706,6.7655,8.4,6.7,5.49,7.3,8.6,83.36,29,-2.83080335006188,-2.56020335006188
"30",1975,31.688,7.11762060769576,8.2209,7.6263,7.2,7.6,5.34,7.51,8.8,95.19,30,-1.10327939230424,-0.0823793923042375
"31",1975,32.216,6.66498359000256,6.3376,7.1181,5.5,6.9,6.42,8.37,8.4,83.87,31,0.32738359000256,1.16498359000256
"32",1975,32.563,4.30841817730325,5.9901,6.2245,6.6,5.9,5.44,7.76,8.2,90.19,32,-1.68168182269675,-2.29158182269675
"33",1976,32.889,4.00454503577681,6.049,5.9017,5.6,5.3,5,7.49,7.6,102.77,33,-2.04445496422319,-1.59545496422319
"34",1976,33.309,5.10809085104436,6.4327,6.0826,5.6,5.1,5.41,7.61,7.6,104.28,34,-1.32460914895564,-0.491909148955644
"35",1976,33.868,6.71290041730472,6.2003,6.5991,5.4,5.7,5.08,7.13,7.6,105.24,35,0.512600417304723,1.31290041730472
"36",1976,34.411,6.41313334120701,6.0451,6.4887,6,5.9,4.35,6.1,7.8,107.46,36,0.368033341207012,0.413133341207011
"37",1977,34.952,6.28868675714154,5.5277,5.7683,5.7,5.4,4.6,6.93,7.4,98.42,37,0.760986757141537,0.588686757141537
"38",1977,35.437,5.5504692149233,5.4621,5.729,5,4.7,5.02,6.76,7.2,100.48,38,0.0883692149233033,0.550469214923304
"39",1977,36.034,6.73871941755797,5.9214,5.1464,5.6,5.4,5.81,7.04,6.8,96.53,39,0.81731941755797,1.13871941755797
"40",1977,36.637,6.69367819281792,6.8408,6.827,6.7,6.4,6.07,7.48,6.4,95.1,40,-0.14712180718208,-0.00632180718208009
"41",1978,37.338,7.65346507628903,5.9643,6.1553,6.3,6.1,6.29,7.86,6.3,89.21,41,1.68916507628903,1.35346507628903
"42",1978,37.987,6.95270234077885,5.7671,5.5458,6.2,6.2,6.73,8.36,5.9,95.53,42,1.18560234077885,0.752702340778849
"43",1978,38.759,8.12909679627243,6.5557,5.9659,6.7,6.2,7.85,8.43,6,102.54,43,1.57339679627243,1.42909679627243
"44",1978,39.47,7.33765061018081,8.5427,6.9505,7.2,7.1,9.08,9.08,6,96.11,44,-1.20504938981919,0.137650610180812
"45",1979,40.411,9.53635672662783,7.3456,8.4444,7.4,7.2,9.48,9.2,5.8,101.59,45,2.19075672662783,2.13635672662783
"46",1979,41.235,8.15619509539482,7.7862,7.5485,7.7,6.9,9.06,8.85,5.7,102.91,46,0.369995095394825,0.456195095394825
"47",1979,42.044,7.84770219473749,8.4563,7.4645,7.6,6.8,10.26,9.41,5.9,109.32,47,-0.608597805262507,0.247702194737494
"48",1979,42.955,8.66711064598995,9.1757,7.7566,10.7,8.6,12.04,10.42,6,107.94,48,-0.50858935401005,-2.03288935401005
"49",1980,43.895,8.7533465254336,7.7168,8.4799,9.6,9.9,15.2,13.47,6.3,102.09,49,1.0365465254336,-0.846653474566397
"50",1980,44.903,9.18555644150807,8.803,8.4098,9.7,9.1,7.07,9.21,7.6,114.24,50,0.382556441508068,-0.51444355849193
"51",1980,46.165,11.2420105560876,9.0598,8.9229,10,9.8,10.27,11.62,7.5,125.46,51,2.18221055608758,1.24201055608758
"52",1980,47.358,10.336835264811,8.6083,8.6741,10.4,10.2,15.49,13.25,7.2,135.76,52,1.72853526481095,-0.0631647351890496
"53",1981,48.197,7.08644790742854,9.9416,7.8202,10.4,9.9,13.36,13.41,7.4,136,53,-2.85515209257146,-3.31355209257146
"54",1981,49.096,7.46104529327543,9.4141,8.5277,8.7,9.2,14.73,13.95,7.5,131.21,54,-1.95305470672457,-1.23895470672457
"55",1981,49.98,7.20221606648197,8.6786,9.263,8.2,8.6,14.7,15.93,7.6,116.18,55,-1.47638393351803,-0.997783933518029
"56",1981,50.652,5.37815126050427,7.5769,9.067,9.1,8.3,10.85,13.6,8.5,122.55,56,-2.19874873949573,-3.72184873949573
"57",1982,51.278,4.94353628681985,8.1084,7.8203,7.1,7.2,12.68,13.98,9,111.96,57,-3.16486371318015,-2.15646371318015
"58",1982,52.001,5.63984554779831,6.3606,6.9883,6.9,7.3,12.47,14.43,9.6,109.61,58,-0.720754452201694,-1.26015445220169
"59",1982,52.566,4.34607026787948,4.9105,6.6863,5.5,6.1,7.92,12.25,10.1,120.42,59,-0.564429732120524,-1.15392973212052
"60",1982,53.013,3.40143819198717,6.2017,6.1812,5.2,5.7,7.94,10.22,10.8,140.64,60,-2.80026180801283,-1.79856180801283
"61",1983,53.371,2.70122422801959,5.0874,5.2459,5,4.9,8.35,10.08,10.3,152.96,61,-2.38617577198041,-2.29877577198041
"62",1983,53.929,4.18204642970901,4.7238,5.2914,3.6,4.1,8.79,10.63,10.1,168.11,62,-0.541753570290992,0.582046429709008
"63",1983,54.32,2.90010940310408,4.3897,4.9467,3.1,3.8,9,11.43,9.2,166.07,63,-1.48959059689592,-0.199890596895921
"64",1983,54.885,4.16053019145801,4.6479,4.7835,3.1,3.2,9,11.54,8.3,164.93,64,-0.487369808541988,1.06053019145801
"65",1984,55.37,3.53466338708204,5.1367,5.0012,4.7,3.5,9.52,12.02,7.8,159.18,65,-1.60203661291796,-1.16533661291796
"66",1984,55.827,3.30142676539644,4.558,5.2033,4.1,4.6,9.87,13.48,7.2,153.18,66,-1.25657323460356,-0.798573234603557
"67",1984,56.174,2.4862521718882,4.8687,4.9204,4.6,4.3,10.37,12.53,7.3,166.1,67,-2.3824478281118,-2.1137478281118
"68",1984,56.839,4.73528678748174,4.4733,5.3195,4.5,4.7,8.06,11.07,7.3,167.24,68,0.261986787481741,0.235286787481741
"69",1985,57.161,2.26604971938285,4.2024,4.6902,4.6,4.9,8.52,11.52,7.2,180.66,69,-1.93635028061715,-2.33395028061715
"70",1985,57.528,2.56818460138906,3.4984,4.4552,3.6,3.9,6.95,9.6,7.4,191.85,70,-0.930215398610944,-1.03181539861094
"71",1985,57.837,2.14851898206092,3.7547,4.117,2.7,3.2,7.1,9.81,7.1,182.08,71,-1.60618101793908,-0.551481017939079
"72",1985,58.118,1.94339263793069,3.8092,4.3128,3.2,3.1,7.1,8.73,7,211.28,72,-1.86580736206931,-1.25660736206931
"73",1986,58.334,1.48663064799202,3.6938,4.0335,3.5,3.6,6.56,7.46,7.2,238.9,73,-2.20716935200798,-2.01336935200798
"74",1986,58.606,1.8651215414681,3.0106,3.5876,3.4,3.7,6.21,7.64,7.2,250.84,74,-1.1454784585319,-1.5348784585319
"75",1986,58.96,2.41613486673717,2.5112,4.0611,2.2,3,5.21,6.92,7,231.32,75,-0.0950651332628261,0.216134866737174
"76",1986,59.306,2.34735413839893,2.4208,3.3971,2.2,2.8,5.53,6.67,6.6,242.17,76,-0.0734458616010727,0.147354138398927
"77",1987,59.694,2.61693589181533,3.0165,2.5829,2.9,2.9,5.59,6.79,6.6,291.7,77,-0.399564108184669,-0.283064108184669
"78",1987,60.135,2.95507086139306,3.2965,2.7017,3,3,5.67,8.02,6.2,304,78,-0.341429138606939,-0.044929138606939
"79",1987,60.605,3.12629916022287,4.0477,4.0833,3.2,3,6.4,8.94,5.9,321.83,79,-0.921400839777132,-0.0737008397771328
"80",1987,61.075,3.10205428595003,4.9424,3.8142,2.8,2.6,5.77,8.45,5.7,247.08,80,-1.84034571404997,0.302054285950029
"81",1988,61.681,3.9688907081457,3.2823,4.317,4,3.8,5.7,7.83,5.7,258.89,81,0.6865907081457,-0.0311092918542997
"82",1988,62.426,4.83130947941834,3.5549,3.9777,3.5,3.8,6.46,8.49,5.4,273.5,82,1.27640947941834,1.33130947941834
"83",1988,62.961,3.42805882164479,3.6644,3.7126,4.1,3.5,7.24,8.69,5.4,271.91,83,-0.236341178355214,-0.671941178355214
"84",1988,63.602,4.07236225599972,4.1079,4.1766,4.2,4,8.07,9.09,5.3,277.72,84,-0.0355377440002824,-0.127637744000283
"85",1989,64.271,4.20741486116789,4.4471,4.215,3.9,4,8.82,9.51,5,294.87,85,-0.239685138832109,0.307414861167891
"86",1989,64.744,2.94378491076843,4.6496,4.5965,4.4,3.8,8.15,8.29,5.3,317.98,86,-1.70581508923157,-1.45621508923157
"87",1989,65.174,2.65661682935878,4.5731,4.5385,4.1,3.7,7.75,8.17,5.3,349.15,87,-1.91648317064122,-1.44338317064122
"88",1989,65.901,4.46190198545429,3.8259,4.1989,3.7,3.9,7.63,7.75,5.4,353.4,88,0.636001985454286,0.761901985454286
"89",1990,66.58,4.12133351542465,3.9569,4.5603,4.2,4.6,7.9,8.6,5.2,339.94,89,0.164433515424652,-0.078666484575348
"90",1990,67.18,3.60468609191953,3.9342,4.0032,3.6,4.1,7.73,8.43,5.2,358.02,90,-0.329513908080471,0.00468609191952885
"91",1990,67.702,3.10806787734439,4.137,4.0415,3.8,4.2,7.36,8.51,5.9,306.05,91,-1.02893212265561,-0.691932122655611
"92",1990,68.373,3.96443236536594,4.2762,4.1293,3.4,4.1,6.74,7.73,6.3,330.22,92,-0.311767634634056,0.564432365365944
"93",1991,68.832,2.68527050151368,4.6474,4.3497,5.6,4.9,5.91,7.77,6.8,375.22,93,-1.96212949848632,-2.91472949848632
"94",1991,69.328,2.88238028823811,3.6932,4.0139,3.8,4.6,5.57,7.94,6.9,371.16,94,-0.810819711761893,-0.917619711761893
"95",1991,69.694,2.1117009000692,3.3744,3.4176,3.3,3.7,5.22,7.14,6.9,387.86,95,-1.2626990999308,-1.1882990999308
"96",1991,70.014,1.83659999426062,3.2829,3.3391,3.3,3.2,4.07,6.19,7.3,417.09,96,-1.44630000573938,-1.46340000573938
"97",1992,70.457,2.53092238695114,3.1783,3.2651,3.7,3.8,4.04,6.95,7.4,403.69,97,-0.64737761304886,-1.16907761304886
"98",1992,70.785,1.86212867422686,2.8517,2.9795,2.9,2.9,3.66,6.48,7.8,408.14,98,-0.989571325773141,-1.03787132577314
"99",1992,71.275,2.76894822349369,3.022,3.0367,2.8,2.5,2.91,5.38,7.6,417.8,99,-0.253051776506305,-0.0310517765063052
"100",1992,71.704,2.40757628902131,2.7205,3.1564,2.9,2.7,3.22,6.08,7.4,435.71,100,-0.312923710978693,-0.492423710978693
"101",1993,72.136,2.40990739707687,2.8228,2.9311,2.8,2.9,2.95,5.19,7,451.67,101,-0.412892602923129,-0.390092602923128
"102",1993,72.504,2.04058999667298,2.6743,2.8441,2.2,2.2,3.07,5.22,7,450.53,102,-0.633710003327019,-0.159410003327019
"103",1993,72.913,2.25642723160098,2.8397,2.8119,2.2,2.2,2.95,4.73,6.7,458.93,103,-0.583272768399023,0.0564272316009768
"104",1993,73.291,2.07370427770082,3.0035,2.9583,3,2.4,3.06,5.15,6.5,466.45,104,-0.929795722299184,-0.926295722299184
"105",1994,73.652,1.9702282681366,2.8873,3.0066,2.6,2.5,3.5,5.94,6.5,445.77,105,-0.917071731863402,-0.629771731863402
"106",1994,74.021,2.00401889969042,2.5707,2.9031,2.3,2.5,4.14,6.7,6.1,444.27,106,-0.566681100309582,-0.295981100309581
"107",1994,74.44,2.26422231528884,2.6735,2.6521,2.3,2.2,4.62,7.08,5.9,462.69,107,-0.409277684711156,-0.0357776847111557
"108",1994,74.89,2.41805480924233,2.9408,2.8995,2.5,2.2,5.6,7.78,5.5,459.27,108,-0.522745190757668,-0.0819451907576685
"109",1995,75.226,1.79463212711974,3.1288,3.1348,3.1,2.6,5.73,7.05,5.4,500.71,109,-1.33416787288026,-1.30536787288026
"110",1995,75.548,1.71217398239971,2.7059,3.0271,2.4,2.8,5.47,5.93,5.6,544.75,110,-0.993726017600288,-0.687826017600288
"111",1995,75.908,1.90607296023719,2.8854,2.9549,2.6,2.3,5.28,6,5.6,584.41,111,-0.979327039762807,-0.693927039762807
"112",1995,76.296,2.04458028139332,2.6021,2.8628,2.4,2.4,5.14,5.51,5.6,615.93,112,-0.557519718606684,-0.355419718606684
"113",1996,76.584,1.50990877634474,2.3559,2.722,2.5,2.4,4.96,5.97,5.5,645.5,113,-0.845991223655263,-0.990091223655263
"114",1996,76.932,1.81761203384516,2.2634,2.3838,2.4,2.2,5.09,6.69,5.3,670.63,114,-0.445787966154838,-0.582387966154838
"115",1996,77.257,1.68980398273799,2.4864,2.4733,3.2,2.6,5.09,6.6,5.2,687.31,115,-0.796596017262008,-1.51019601726201
"116",1996,77.637,1.96745925935513,2.5381,2.5058,3,2.9,4.91,6.07,5.4,740.74,116,-0.570640740644869,-1.03254074064487
"117",1997,77.998,1.85993791619978,2.518,2.7042,2.9,3,5.14,6.54,5.2,757.12,117,-0.658062083800217,-1.04006208380022
"118",1997,78.225,1.16413241365159,2.4752,2.615,2.7,2.4,4.93,6.38,5,885.14,118,-1.31106758634841,-1.53586758634841
"119",1997,78.493,1.37040588047297,2.3962,2.552,2.3,2.2,4.95,6.11,4.9,947.28,119,-1.02579411952703,-0.929594119527031
"120",1997,78.606,0.575847527804996,2.2829,2.4773,2.1,2.4,5.16,5.77,4.7,970.43,120,-1.707052472195,-1.524152472195
"121",1998,78.786,0.915960613693656,2.2333,2.4311,2.2,2.3,5.03,5.61,4.7,1101.75,121,-1.31733938630634,-1.28403938630634
"122",1998,79.071,1.44695758129618,1.9852,2.2648,1.6,2,4.98,5.52,4.5,1133.84,122,-0.538242418703818,-0.153042418703818
"123",1998,79.278,1.04716014720951,1.5997,2.0981,1.7,1.6,4.61,4.62,4.6,1017.01,123,-0.552539852790486,-0.652839852790486
"124",1998,79.575,1.49852418073104,1.7561,1.9783,1.4,1.7,4.39,4.45,4.4,1229.23,124,-0.257575819268958,0.0985241807310424
"125",1999,79.908,1.67389255419419,1.7364,1.9718,1.7,1.7,4.44,5.14,4.2,1286.37,125,-0.0625074458058104,-0.0261074458058104
"126",1999,80.191,1.41662912349201,1.3769,1.6906,1.4,1.3,4.57,5.81,4.3,1372.71,126,0.0397291234920081,0.0166291234920082
"127",1999,80.585,1.96530782756161,1.5016,1.5197,1.5,1.5,4.68,5.8,4.2,1282.71,127,0.463707827561613,0.465307827561613
